,Date,Acid/Fusion/POP,Drama_OST,Classic,Indie_Music,Music_OST,Ballad,Dance,Rock/Metal,R&B/Soul,Electronica,Rap/Hiphop,EDM,POP,J-POP,Adults_Music,Jazz,Newage,Folk/Blues,Ani/GameOST,-
153,2012-10,,,,,,,,,6.140350877192982,,,0.0,1.7543859649122806,0.0,,,,,,0.0
154,2012-11,,,,,,,,,2.727272727272727,,,0.0,0.9090909090909092,0.0,,,,,,0.0
155,2012-12,,,,,,,,,5.5555555555555545,,,0.0,0.9259259259259258,0.0,,,,,,0.0
156,2013-01,,,,,,,,,4.854368932038835,,,0.0,0.9708737864077668,0.0,,,,,,0.0
157,2013-02,,,,,,,,,4.545454545454546,,,0.0,3.636363636363636,0.0,,,,,,0.0
158,2013-03,,,,,,,,,8.035714285714286,,,0.0,1.7857142857142856,0.0,,,,,,0.0
159,2013-04,,,,,,,,,7.6923076923076925,,,0.0,0.8547008547008548,0.0,,,,,,0.0
160,2013-05,,,,,,,,,3.3898305084745757,,,0.0,0.8474576271186439,0.0,,,,,,0.0
161,2013-06,,,,,,,,,4.545454545454546,,,0.0,0.9090909090909092,0.0,,,,,,0.0
162,2013-07,,,,,,,,,6.086956521739131,,,0.0,0.0,0.0,,,,,,0.0
163,2013-08,,,,,,,,,3.5398230088495577,,,0.0,0.0,0.0,,,,,,0.0
164,2013-09,,,,,,,,,6.086956521739131,,,0.0,0.0,0.0,,,,,,0.0
165,2013-10,,,,,,,,,4.464285714285714,,,0.0,0.8928571428571428,0.0,,,,,,0.0
166,2013-11,,,,,,,,,6.779661016949151,,,0.0,0.8474576271186439,0.0,,,,,,0.0
167,2013-12,,,,,,,,,11.016949152542374,,,0.0,0.8474576271186439,0.0,,,,,,0.0
168,2014-01,,,,,,,,,5.785123966942148,,,0.0,1.6528925619834711,0.0,,,,,,0.0
169,2014-02,,,,,,,,,6.451612903225807,,,0.0,4.032258064516129,0.0,,,,,,0.0
170,2014-03,,,,,,,,,8.264462809917356,,,0.0,4.132231404958678,0.0,,,,,,0.0
171,2014-04,,,,,,,,,7.9646017699115035,,,0.0,1.7699115044247788,0.0,,,,,,0.0
172,2014-05,,,,,,,,,12.280701754385964,,,0.8771929824561403,0.8771929824561403,0.0,,,,,,0.0
173,2014-06,,,,,,,,,23.14814814814815,,,0.9259259259259258,0.9259259259259258,0.0,,,,,,0.0
174,2014-07,,,,,,,,,16.19047619047619,,,0.9523809523809524,0.0,0.0,,,,,,0.0
175,2014-08,,,,,,,,,9.734513274336283,,,0.8849557522123894,0.0,0.0,,,,,,0.8849557522123894
176,2014-09,,,,,,,,,8.943089430894311,,,0.8130081300813009,2.4390243902439024,0.0,,,,,,0.0
177,2014-10,,,,,,,,,7.3770491803278695,,,0.0,2.459016393442623,0.0,,,,,,0.0
